k,seed,ari_vs_primary,nmi_vs_primary
2,0,0.15427858129052285,0.22076857401068944
2,1,1.0,1.0
2,2,0.994936689056685,0.9872282291805878
2,3,1.0,1.0
2,4,0.994936689056685,0.9872282291805878
2,5,0.1522762698853406,0.2190022181098726
2,6,1.0,1.0
2,7,0.1522762698853406,0.2190022181098726
2,8,0.994936689056685,0.9872282291805878
2,9,1.0,1.0
2,10,1.0,1.0
2,11,0.15427858129052285,0.22076857401068944
2,12,0.3806127623057512,0.3840276650180733
2,13,0.33209244297624535,0.34918840432712156
2,14,0.994936689056685,0.9872282291805878
2,15,0.15427858129052285,0.22076857401068944
2,16,0.994936689056685,0.9872282291805878
2,17,0.994936689056685,0.9872282291805878
2,18,0.3291631138979947,0.35159319383386733
2,19,0.994936689056685,0.9872282291805878
2,20,0.1522762698853406,0.2190022181098726
2,21,1.0,1.0
2,22,1.0,1.0
2,23,1.0,1.0
2,24,0.1522762698853406,0.2190022181098726
2,25,0.1522762698853406,0.2190022181098726
2,26,1.0,1.0
2,27,0.1522762698853406,0.2190022181098726
2,28,0.994936689056685,0.9872282291805878
2,29,0.15427858129052285,0.22076857401068944
2,30,0.1522762698853406,0.2190022181098726
2,31,0.994936689056685,0.9872282291805878
2,32,0.994936689056685,0.9872282291805878
2,33,0.994936689056685,0.9872282291805878
2,34,0.994936689056685,0.9872282291805878
2,35,0.33209244297624535,0.34918840432712156
2,36,1.0,1.0
2,37,1.0,1.0
2,38,0.994936689056685,0.9872282291805878
2,39,0.1522762698853406,0.2190022181098726
2,40,1.0,1.0
2,41,0.994936689056685,0.9872282291805878
2,42,1.0,1.0
2,43,0.1522762698853406,0.2190022181098726
2,44,1.0,1.0
2,45,0.994936689056685,0.9872282291805878
2,46,1.0,1.0
2,47,0.3147362039646607,0.3411492512898576
2,48,0.1522762698853406,0.2190022181098726
2,49,1.0,1.0
2,50,0.1522762698853406,0.2190022181098726
2,51,0.1522762698853406,0.2190022181098726
2,52,1.0,1.0
2,53,0.15427858129052285,0.22076857401068944
2,54,1.0,1.0
2,55,0.994936689056685,0.9872282291805878
2,56,0.994936689056685,0.9872282291805878
2,57,0.994936689056685,0.9872282291805878
2,58,0.994936689056685,0.9872282291805878
2,59,0.994936689056685,0.9872282291805878
2,60,1.0,1.0
2,61,1.0,1.0
2,62,0.994936689056685,0.9872282291805878
2,63,1.0,1.0
2,64,0.15427858129052285,0.22076857401068944
2,65,0.1522762698853406,0.2190022181098726
2,66,0.15427858129052285,0.22076857401068944
2,67,0.1522762698853406,0.2190022181098726
2,68,1.0,1.0
2,69,0.15427858129052285,0.22076857401068944
2,70,1.0,1.0
2,71,0.1522762698853406,0.2190022181098726
2,72,0.29231869031494634,0.3247885034036391
2,73,1.0,1.0
2,74,1.0,1.0
2,75,0.994936689056685,0.9872282291805878
2,76,0.15427858129052285,0.22076857401068944
2,77,1.0,1.0
2,78,1.0,1.0
2,79,0.994936689056685,0.9872282291805878
2,80,1.0,1.0
2,81,1.0,1.0
2,82,0.994936689056685,0.9872282291805878
2,83,1.0,1.0
2,84,0.1522762698853406,0.2190022181098726
2,85,0.994936689056685,0.9872282291805878
2,86,1.0,1.0
2,87,0.15427858129052285,0.22076857401068944
2,88,0.15427858129052285,0.22076857401068944
2,89,0.994936689056685,0.9872282291805878
2,90,0.1522762698853406,0.2190022181098726
2,91,0.994936689056685,0.9872282291805878
2,92,1.0,1.0
2,93,0.994936689056685,0.9872282291805878
2,94,0.15427858129052285,0.22076857401068944
2,95,0.15427858129052285,0.22076857401068944
2,96,0.33209244297624535,0.34918840432712156
2,97,0.994936689056685,0.9872282291805878
2,98,0.1522762698853406,0.2190022181098726
2,99,0.1522762698853406,0.2190022181098726
3,0,0.9776555182914337,0.9679818439539967
3,1,1.0,1.0
3,2,0.7887055373447774,0.7865593136758083
3,3,1.0,1.0
3,4,1.0,1.0
3,5,1.0,1.0
3,6,1.0,1.0
3,7,1.0,1.0
3,8,1.0,1.0
3,9,1.0,1.0
3,10,1.0,1.0
3,11,1.0,1.0
3,12,0.7887055373447774,0.7865593136758082
3,13,1.0,1.0
3,14,0.8001600451016186,0.8031636926819153
3,15,1.0,1.0
3,16,0.7891149706474636,0.7924434364659771
3,17,0.7887055373447774,0.7865593136758082
3,18,0.7891149706474636,0.7924434364659774
3,19,0.7951339762669551,0.7935814850142079
3,20,1.0,1.0
3,21,1.0,1.0
3,22,1.0,1.0
3,23,1.0,1.0
3,24,1.0,1.0
3,25,0.7891149706474636,0.7924434364659774
3,26,0.7887055373447774,0.7865593136758083
3,27,0.8001600451016186,0.8031636926819153
3,28,0.9791303762426153,0.9655289936031616
3,29,1.0,1.0
3,30,0.9776555182914337,0.9679818439539964
3,31,0.9776555182914337,0.9679818439539967
3,32,0.8001600451016186,0.8031636926819153
3,33,1.0,1.0
3,34,0.7887055373447774,0.7865593136758082
3,35,0.8036190947062685,0.8095646193468112
3,36,1.0,1.0
3,37,1.0,1.0
3,38,0.7891149706474636,0.7924434364659771
3,39,0.7924819865889547,0.7890360562249601
3,40,0.995502219265798,0.991611410186124
3,41,1.0,1.0
3,42,0.7887055373447774,0.7865593136758082
3,43,0.7891149706474636,0.7924434364659774
3,44,1.0,1.0
3,45,1.0,1.0
3,46,0.7887055373447774,0.7865593136758083
3,47,0.7887055373447774,0.7865593136758083
3,48,0.8001600451016186,0.8031636926819153
3,49,0.7887055373447774,0.7865593136758083
3,50,0.7891149706474636,0.7924434364659774
3,51,1.0,1.0
3,52,0.7887055373447774,0.7865593136758082
