replicate,k,subsample_size,ari_vs_primary_on_sample,nmi_vs_primary_on_sample,exact_label_match_fraction_after_permutation,permutation_mapping
0,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
0,3,632,0.7871542657790817,0.7924036843607348,0.9335443037974683,"{""0"": 0, ""1"": 1, ""2"": 2}"
0,4,632,0.9897856031397417,0.9811332062466129,0.995253164556962,"{""0"": 1, ""1"": 0, ""2"": 2, ""3"": 3}"
0,5,632,0.9626001002890326,0.9514273182926248,0.9841772151898734,"{""0"": 0, ""1"": 2, ""2"": 3, ""3"": 1, ""4"": 4}"
0,6,632,0.8576810131552234,0.8445755640363194,0.9367088607594937,"{""0"": 5, ""1"": 4, ""2"": 1, ""3"": 0, ""4"": 2, ""5"": 3}"
1,2,632,0.9936708090624575,0.9845275030323606,0.9984177215189873,"{""0"": 0, ""1"": 1}"
1,3,632,0.9959627689957569,0.9904667869766255,0.9984177215189873,"{""0"": 1, ""1"": 2, ""2"": 0}"
1,4,632,0.9537070476744053,0.9435660061964132,0.9841772151898734,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 1}"
1,5,632,0.8190800083674916,0.8162976741000479,0.9240506329113924,"{""0"": 0, ""1"": 4, ""2"": 1, ""3"": 3, ""4"": 2}"
1,6,632,0.9303993499724073,0.9248372525410561,0.9683544303797469,"{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 0, ""4"": 2, ""5"": 5}"
2,2,632,1.0,1.0,1.0,"{""0"": 0, ""1"": 1}"
2,3,632,0.9887801415947269,0.9797260146212025,0.9968354430379747,"{""0"": 0, ""1"": 2, ""2"": 1}"
2,4,632,0.9334639167953652,0.9247415063726515,0.9762658227848101,"{""0"": 2, ""1"": 0, ""2"": 1, ""3"": 3}"
2,5,632,0.6445400264463589,0.67984353579449,0.8180379746835443,"{""0"": 2, ""1"": 0, ""2"": 3, ""3"": 4, ""4"": 1}"
2,6,632,0.9688134760298793,0.962867145183118,0.9873417721518988,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 5, ""4"": 2, ""5"": 4}"
3,2,632,0.9936708547947374,0.984540195442337,0.9984177215189873,"{""0"": 1, ""1"": 0}"
3,3,632,0.9870517772308564,0.973306894384906,0.995253164556962,"{""0"": 2, ""1"": 1, ""2"": 0}"
3,4,632,0.9721559332866814,0.9631091607569272,0.990506329113924,"{""0"": 3, ""1"": 2, ""2"": 1, ""3"": 0}"
3,5,632,0.6459496705726657,0.6933813046242724,0.8180379746835443,"{""0"": 0, ""1"": 1, ""2"": 3, ""3"": 2, ""4"": 4}"
3,6,632,0.49398955084836815,0.61409166957256,0.6534810126582279,"{""0"": 4, ""1"": 5, ""2"": 2, ""3"": 1, ""4"": 3, ""5"": 0}"
4,2,632,0.9685550313817353,0.9412257894042326,0.9920886075949367,"{""0"": 0, ""1"": 1}"
4,3,632,0.9850607548116462,0.9723521617683848,0.995253164556962,"{""0"": 1, ""1"": 0, ""2"": 2}"
4,4,632,0.9953013452745755,0.992780598054165,0.9984177215189873,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3}"
4,5,632,0.7358300350497864,0.7843657507754139,0.879746835443038,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0, ""4"": 4}"
4,6,632,0.5184972507827482,0.6302341542844416,0.6677215189873418,"{""0"": 4, ""1"": 0, ""2"": 5, ""3"": 2, ""4"": 3, ""5"": 1}"
5,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
5,3,632,0.9943958466222196,0.989887034550022,0.9984177215189873,"{""0"": 2, ""1"": 1, ""2"": 0}"
5,4,632,0.9584116451463569,0.9494394983794163,0.9857594936708861,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 0}"
5,5,632,0.751391101513417,0.7888722888892933,0.8908227848101266,"{""0"": 4, ""1"": 3, ""2"": 0, ""3"": 1, ""4"": 2}"
5,6,632,0.5063084909859688,0.6079741771181084,0.6629746835443038,"{""0"": 0, ""1"": 3, ""2"": 4, ""3"": 2, ""4"": 1, ""5"": 5}"
6,2,632,0.9253747621952298,0.8828946257856071,0.9810126582278481,"{""0"": 1, ""1"": 0}"
6,3,632,0.9809652085443359,0.9627379360358441,0.9936708860759493,"{""0"": 0, ""1"": 1, ""2"": 2}"
6,4,632,0.9681652789580355,0.9597155178103659,0.9889240506329114,"{""0"": 2, ""1"": 1, ""2"": 0, ""3"": 3}"
6,5,632,0.640699521948482,0.685421157317166,0.8117088607594937,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0, ""4"": 4}"
6,6,632,0.8769149663881388,0.8579833757833933,0.944620253164557,"{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 5, ""4"": 0, ""5"": 3}"
7,2,632,0.14915917815084279,0.20769105570214352,0.694620253164557,"{""0"": 0, ""1"": 1}"
7,3,632,0.8114173388778387,0.8146509203879613,0.9414556962025317,"{""0"": 1, ""1"": 2, ""2"": 0}"
7,4,632,0.974368581238654,0.9629077916979171,0.990506329113924,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0}"
7,5,632,0.9647090324237315,0.9526945009109888,0.9857594936708861,"{""0"": 1, ""1"": 4, ""2"": 3, ""3"": 0, ""4"": 2}"
7,6,632,0.9476855706823742,0.9445357750452482,0.9794303797468354,"{""0"": 0, ""1"": 1, ""2"": 5, ""3"": 2, ""4"": 3, ""5"": 4}"
8,2,632,0.9936708090624575,0.9845275030323606,0.9984177215189873,"{""0"": 0, ""1"": 1}"
8,3,632,0.8067928776560818,0.8057430120572564,0.939873417721519,"{""0"": 1, ""1"": 2, ""2"": 0}"
8,4,632,0.9391925289332612,0.9224248623880876,0.9778481012658228,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 0}"
8,5,632,0.7144738776979087,0.7758697630806348,0.875,"{""0"": 1, ""1"": 0, ""2"": 4, ""3"": 2, ""4"": 3}"
8,6,632,0.5000779255397205,0.6379766325366826,0.6566455696202531,"{""0"": 0, ""1"": 3, ""2"": 5, ""3"": 1, ""4"": 4, ""5"": 2}"
9,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
9,3,632,0.9499916258740024,0.926258722315856,0.9841772151898734,"{""0"": 1, ""1"": 2, ""2"": 0}"
9,4,632,0.9548870718512062,0.9410073389469558,0.9841772151898734,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 0}"
9,5,632,0.5397901993550599,0.6475382265903189,0.7689873417721519,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 4, ""4"": 0}"
9,6,632,0.9213374057595053,0.9045759505957726,0.9588607594936709,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 5, ""4"": 3, ""5"": 4}"
10,2,632,0.9936708858097872,0.984560085537352,0.9984177215189873,"{""0"": 1, ""1"": 0}"
10,3,632,0.948608435180175,0.9094802985823287,0.9794303797468354,"{""0"": 0, ""1"": 1, ""2"": 2}"
10,4,632,0.9332410033489702,0.9075152525268995,0.9746835443037974,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 2}"
10,5,632,0.436996720590434,0.5667197885565114,0.6629746835443038,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 4, ""4"": 0}"
10,6,632,0.8245351581948112,0.8383255685192097,0.9161392405063291,"{""0"": 0, ""1"": 2, ""2"": 5, ""3"": 4, ""4"": 1, ""5"": 3}"
11,2,632,0.9810728411916092,0.9612255204556784,0.995253164556962,"{""0"": 1, ""1"": 0}"
11,3,632,0.9801998289831774,0.9613314384296024,0.9920886075949367,"{""0"": 0, ""1"": 2, ""2"": 1}"
11,4,632,0.962939476368946,0.9445564860821329,0.9857594936708861,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0}"
11,5,632,0.6337159743150276,0.6825804706746833,0.7927215189873418,"{""0"": 4, ""1"": 0, ""2"": 2, ""3"": 3, ""4"": 1}"
11,6,632,0.5345605837118227,0.6524188302138489,0.6962025316455697,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 4, ""4"": 0, ""5"": 5}"
12,2,632,0.9936706977332406,0.9845077047990085,0.9984177215189873,"{""0"": 1, ""1"": 0}"
12,3,632,0.7684542033914794,0.7762586786074119,0.9272151898734177,"{""0"": 1, ""1"": 0, ""2"": 2}"
12,4,632,0.9606146978666368,0.9449706551867677,0.9857594936708861,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 2}"
12,5,632,0.9077635803831535,0.8995536540357371,0.9636075949367089,"{""0"": 2, ""1"": 4, ""2"": 3, ""3"": 0, ""4"": 1}"
12,6,632,0.515378694391702,0.5917282489598753,0.6693037974683544,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 4, ""4"": 0, ""5"": 5}"
13,2,632,0.9873618279998477,0.9722811651523068,0.9968354430379747,"{""0"": 1, ""1"": 0}"
13,3,632,0.9902925113212162,0.9803910062405462,0.9968354430379747,"{""0"": 0, ""1"": 1, ""2"": 2}"
13,4,632,0.939392941643202,0.9248372982600583,0.9778481012658228,"{""0"": 2, ""1"": 0, ""2"": 1, ""3"": 3}"
13,5,632,0.710703787903475,0.7477246891677297,0.870253164556962,"{""0"": 0, ""1"": 2, ""2"": 3, ""3"": 4, ""4"": 1}"
13,6,632,0.4944233607448387,0.6269944877084443,0.6566455696202531,"{""0"": 0, ""1"": 5, ""2"": 4, ""3"": 1, ""4"": 2, ""5"": 3}"
14,2,632,0.9936708779013222,0.9845510529189185,0.9984177215189873,"{""0"": 1, ""1"": 0}"
14,3,632,0.770101684609946,0.7757723758247591,0.9272151898734177,"{""0"": 1, ""1"": 0, ""2"": 2}"
14,4,632,0.9629109749829594,0.9545883593923002,0.9873417721518988,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3}"
14,5,632,0.8984227173510773,0.9017245225179993,0.9604430379746836,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 0, ""4"": 4}"
14,6,632,0.5387344717221308,0.6450678708047892,0.6867088607594937,"{""0"": 4, ""1"": 3, ""2"": 1, ""3"": 5, ""4"": 0, ""5"": 2}"
15,2,632,0.9936707617757824,0.9845180162551812,0.9984177215189873,"{""0"": 0, ""1"": 1}"
15,3,632,0.8773915955187253,0.8561900913157556,0.9620253164556962,"{""0"": 2, ""1"": 0, ""2"": 1}"
15,4,632,0.9563336897885704,0.9349944802999673,0.9825949367088608,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0}"
15,5,632,0.6251628790038388,0.6837312514164242,0.8117088607594937,"{""0"": 4, ""1"": 3, ""2"": 2, ""3"": 1, ""4"": 0}"
15,6,632,0.9061790219754037,0.8920814786703454,0.9588607594936709,"{""0"": 2, ""1"": 5, ""2"": 4, ""3"": 3, ""4"": 1, ""5"": 0}"
16,2,632,0.9936708424670813,0.9845361690679575,0.9984177215189873,"{""0"": 0, ""1"": 1}"
16,3,632,0.9709370260904665,0.9434843749300457,0.9889240506329114,"{""0"": 1, ""1"": 2, ""2"": 0}"
