group_label,variable,value
C1,MLCAPE,0.6039274798727656
C1,MLLCL,0.14206911627846594
C1,2-m dew point,0.35509184701769986
C1,0–6-km shear,-0.6775306318362391
C1,0–1-km SRH,-0.618024303132183
C2,MLCAPE,-0.23094270148184542
C2,MLLCL,-0.6734140024195869
C2,2-m dew point,0.3707430908316481
C2,0–6-km shear,0.5984872566801465
C2,0–1-km SRH,0.7940361690197812
C0,MLCAPE,-0.7947626366361029
C0,MLLCL,1.4765382454519507
C0,2-m dew point,-1.8283569847876242
C0,0–6-km shear,-0.02034817082203073
C0,0–1-km SRH,-0.6852463391861282
