record_type,comparison,variable,n_a,n_b,cliffs_delta,ci_low,ci_high,regime,n,p5,p10,p25,median,p75,p90,p95
pairwise_cliffs_delta,C0_vs_C1,MLCAPE_Jkg,131.0,307.0,-0.6982867941417809,-0.7690814829549693,-0.6179712559365442,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C1,MLLCL_m,131.0,307.0,0.7472213243155879,0.6687843449287615,0.8178898227117885,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C1,ERA5_d2m_K,131.0,307.0,-0.9730710893403287,-0.9863241912624015,-0.9571306910013179,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C1,SHR6_ms,131.0,307.0,0.3862048387497825,0.27166931894472496,0.4997967277519457,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C1,SRH1_m2s2,131.0,307.0,-0.17768605316159836,-0.29308439217246435,-0.05523783474650044,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C2,MLCAPE_Jkg,131.0,352.0,-0.5092383761276891,-0.6039241412213741,-0.40798490631505907,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C2,MLLCL_m,131.0,352.0,0.9644777931991673,0.94445751648161,0.9803304996530187,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C2,ERA5_d2m_K,131.0,352.0,-0.9675789382373352,-0.9831724930603748,-0.9497088610340042,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C2,SHR6_ms,131.0,352.0,-0.3789902845246357,-0.495785804129077,-0.261380985426787,,,,,,,,,
pairwise_cliffs_delta,C0_vs_C2,SRH1_m2s2,131.0,352.0,-0.8610990631505899,-0.9111299661693268,-0.8049927350798056,,,,,,,,,
pairwise_cliffs_delta,C1_vs_C2,MLCAPE_Jkg,307.0,352.0,0.4685926858158129,0.3853161089724608,0.5450853198104827,,,,,,,,,
pairwise_cliffs_delta,C1_vs_C2,MLLCL_m,307.0,352.0,0.6667345276872965,0.6042555800266509,0.7284243596387325,,,,,,,,,
pairwise_cliffs_delta,C1_vs_C2,ERA5_d2m_K,307.0,352.0,-0.028048193663014476,-0.11095554486230383,0.061678496076399046,,,,,,,,,
pairwise_cliffs_delta,C1_vs_C2,SHR6_ms,307.0,352.0,-0.7617060260586319,-0.808900975347942,-0.7082319273763696,,,,,,,,,
pairwise_cliffs_delta,C1_vs_C2,SRH1_m2s2,307.0,352.0,-0.8821809298193664,-0.9148865487118744,-0.8453502091353272,,,,,,,,,
distribution_quantiles,,MLCAPE_Jkg,,,,,,C0,131.0,0.0,0.0,0.0,202.55,581.515,1135.14,1421.7150000000001
distribution_quantiles,,MLCAPE_Jkg,,,,,,C1,307.0,0.0,2.9640000000000075,884.085,1541.4,2086.5249999999996,2551.5720000000006,2855.171
distribution_quantiles,,MLCAPE_Jkg,,,,,,C2,352.0,0.0,96.389,405.7,781.6800000000001,1183.44,1633.1190000000001,1794.702
distribution_quantiles,,MLLCL_m,,,,,,C0,131.0,1025.05,1138.3,1348.85,1834.5,2596.2,3315.4,3662.3
distribution_quantiles,,MLLCL_m,,,,,,C1,307.0,684.9,745.74,860.45,1052.8,1274.65,1532.2,1641.5
distribution_quantiles,,MLLCL_m,,,,,,C2,352.0,546.1,573.52,628.525,736.9,854.3249999999999,1006.3300000000003,1132.755
distribution_quantiles,,ERA5_d2m_K,,,,,,C0,131.0,275.29,276.96,280.18,284.62,288.235,290.55,291.32
distribution_quantiles,,ERA5_d2m_K,,,,,,C1,307.0,291.067,292.28,295.83,297.48,298.57000000000005,299.366,299.58
distribution_quantiles,,ERA5_d2m_K,,,,,,C2,352.0,291.103,292.714,296.265,297.77,298.47,299.178,299.42
distribution_quantiles,,SHR6_ms,,,,,,C0,131.0,3.365,5.86,9.79,14.14,18.244999999999997,23.19,26.92
distribution_quantiles,,SHR6_ms,,,,,,C1,307.0,2.727,4.02,6.37,9.21,13.23,16.394,18.092
distribution_quantiles,,SHR6_ms,,,,,,C2,352.0,9.731,11.138000000000002,14.834999999999999,18.064999999999998,21.8,25.233,27.0125
distribution_quantiles,,SRH1_m2s2,,,,,,C0,131.0,-11.6,-3.32,0.015,9.48,35.065,65.82,92.995
distribution_quantiles,,SRH1_m2s2,,,,,,C1,307.0,-8.913,-3.491999999999999,4.99,22.26,42.015,61.844,74.02099999999999
distribution_quantiles,,SRH1_m2s2,,,,,,C2,352.0,37.838,48.904,73.35249999999999,102.25999999999999,141.97,185.541,228.12449999999998
