reference_rank,variable,n_pairs,n_anchors,median_delta,Q1,Q3,PS,direction,analysis_tier
1,MLCAPE,105,105,30.210000000000036,-130.26999999999998,213.98999999999995,0.59523809523809523,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
1,MLLCL,105,105,28.600000000000023,-77.699999999999932,135.79999999999995,0.61904761904761907,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
1,d2m,105,105,0.27999999999997272,-0.32999999999998408,1.0199999999999818,0.62857142857142856,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
1,SHR6,105,105,0.39000000000000057,-1.3000000000000007,1.7899999999999991,0.56190476190476191,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
1,SRH1,105,105,3.6299999999999999,-8.2999999999999545,18.840000000000003,0.5714285714285714,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
2,MLCAPE,43,43,102.28999999999999,-99.524999999999977,489.63999999999999,0.60465116279069764,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
2,MLLCL,43,43,19.299999999999955,-102.09999999999997,153.14999999999992,0.58139534883720934,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
2,d2m,43,43,0.72999999999996135,-0.15500000000000114,1.6900000000000261,0.62790697674418605,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
2,SHR6,43,43,0.66000000000000014,-1.8400000000000016,2.4449999999999994,0.55813953488372092,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
2,SRH1,43,43,16.089999999999996,-8.6850000000000023,52.269999999999996,0.62790697674418605,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
3,MLCAPE,18,18,99.310000000000002,-161.15999999999997,408.71750000000003,0.55555555555555558,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
3,MLLCL,18,18,97.099999999999966,-70.324999999999974,189.72499999999999,0.55555555555555558,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
3,d2m,18,18,0.29500000000001592,-1.042500000000004,1.6749999999999829,0.5,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
3,SHR6,18,18,0.34499999999999975,-1.3350000000000004,1.4049999999999994,0.55555555555555558,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
3,SRH1,18,18,3.9699999999999989,-8.282500000000006,33.424999999999997,0.55555555555555558,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
4,MLCAPE,11,11,134.76999999999998,-30.615000000000023,320.52499999999998,0.72727272727272729,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
4,MLLCL,11,11,122.60000000000002,-66.150000000000006,219.19999999999999,0.54545454545454541,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
4,d2m,11,11,0.50999999999999091,-0.28000000000000114,0.97499999999999432,0.54545454545454541,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
4,SHR6,11,11,-0.37999999999999901,-1.8099999999999996,0.79500000000000082,0.45454545454545453,TORNADO_LT_REFERENCE,DESCRIPTIVE_SENSITIVITY
4,SRH1,11,11,22.879999999999995,-10.494999999999997,41.200000000000003,0.63636363636363635,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
5,MLCAPE,4,4,55.589999999999947,-233.29750000000007,355.46249999999998,0.5,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
5,MLLCL,4,4,24.049999999999983,-292.82499999999993,200.79999999999998,0.5,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
5,d2m,4,4,1.2600000000000193,-0.58499999999999375,3.9100000000000108,0.5,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
5,SHR6,4,4,1.3049999999999997,-0.49499999999999922,2.4224999999999994,0.75,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
5,SRH1,4,4,30.905000000000008,10.44750000000001,46.747500000000002,0.75,TORNADO_GT_REFERENCE,DESCRIPTIVE_SENSITIVITY
