analysis,variable,N_paired,tornado_median,tornado_Q1,tornado_Q3,reference_median,reference_Q1,reference_Q3,paired_median_difference,paired_difference_Q1,paired_difference_Q3,bootstrap_CI_low,bootstrap_CI_high,bootstrap_repetitions,bootstrap_seed,W_statistic,W_plus,W_minus,raw_p,rank_biserial,zero_difference_n,nonzero_difference_n,test_status,effect_direction,delta_definition,q_BH,multiplicity_family,analysis_display,analysis_tier
PRIMARY_RANK1,MLCAPE_Jkg,105,795.04,375.9,1192.15,746.88,319.29,1143.69,30.21000000000004,-130.26999999999998,213.98999999999995,0.0,93.09000000000005,10000,20260814,2242.0,3218.0,2242.0,0.1135377481630923,0.1787545787545787,1,104,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.1892295802718205,PRIMARY_FIVE_VARIABLES,Primary rank-1,
PRIMARY_RANK1,MLLCL_m,105,817.9,688.5,1354.7,771.5,624.7,1236.1,28.600000000000023,-77.69999999999993,135.79999999999995,4.2999999999999545,69.20000000000005,10000,20260814,2401.0,3164.0,2401.0,0.222623003359462,0.1371069182389937,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.2782787541993275,PRIMARY_FIVE_VARIABLES,Primary rank-1,
PRIMARY_RANK1,ERA5_d2m_K,105,297.21,291.09,298.47,296.87,291.68,298.33,0.2799999999999727,-0.3299999999999841,1.0199999999999818,0.0600000000000022,0.5699999999999932,10000,20260814,1840.5,3724.5,1840.5,0.0026001579411628,0.3385444743935309,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.0130007897058143,PRIMARY_FIVE_VARIABLES,Primary rank-1,
PRIMARY_RANK1,SHR6_ms,105,17.85,11.57,22.1,17.59,11.08,22.61,0.3900000000000005,-1.3000000000000007,1.7899999999999991,-0.4599999999999999,0.79,10000,20260814,2501.5,3063.5,2501.5,0.3690215832746736,0.1009883198562443,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.3690215832746736,PRIMARY_FIVE_VARIABLES,Primary rank-1,
PRIMARY_RANK1,SRH1_m2s2,105,95.06,46.13,137.34,72.0,33.24,131.62,3.63,-8.299999999999955,18.840000000000003,-1.09,7.119999999999997,10000,20260814,2160.5,3404.5,2160.5,0.0467655873327887,0.223539982030548,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.1169139683319718,PRIMARY_FIVE_VARIABLES,Primary rank-1,
SECONDARY_ANCHOR_MEDIAN,MLCAPE_Jkg,105,795.04,375.9,1192.15,750.65,303.31,1215.48,30.21000000000004,-137.75,244.69000000000003,0.4099999999999681,115.88999999999989,10000,20260814,2185.0,3275.0,2185.0,0.0771729707553634,0.1996336996336996,1,104,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.1286216179256056,SECONDARY_FIVE_VARIABLES,Anchor median,SECONDARY_ROBUSTNESS
SECONDARY_ANCHOR_MEDIAN,MLLCL_m,105,817.9,688.5,1354.7,763.6,633.8,1233.4,30.500000000000117,-77.69999999999993,148.5,12.0,66.35000000000002,10000,20260814,2305.0,3260.0,2305.0,0.1268911824395662,0.1716082659478885,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.1586139780494578,SECONDARY_FIVE_VARIABLES,Anchor median,SECONDARY_ROBUSTNESS
SECONDARY_ANCHOR_MEDIAN,ERA5_d2m_K,105,297.21,291.09,298.47,297.01,291.35,298.23,0.3599999999999568,-0.2799999999999727,1.0699999999999932,0.0899999999999749,0.5699999999999932,10000,20260814,1666.0,3899.0,1666.0,0.0003579989191765,0.4012578616352201,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.0017899945958827,SECONDARY_FIVE_VARIABLES,Anchor median,SECONDARY_ROBUSTNESS
SECONDARY_ANCHOR_MEDIAN,SHR6_ms,105,17.85,11.57,22.1,17.59,11.02,22.385,0.4600000000000008,-1.1850000000000005,1.834999999999999,0.0599999999999987,0.8599999999999994,10000,20260814,2387.5,3177.5,2387.5,0.2066797669006131,0.141958670260557,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.2066797669006131,SECONDARY_FIVE_VARIABLES,Anchor median,SECONDARY_ROBUSTNESS
SECONDARY_ANCHOR_MEDIAN,SRH1_m2s2,105,95.06,46.13,137.34,72.11,32.11,119.605,5.469999999999999,-7.230000000000004,22.92999999999998,0.6,10.61999999999999,10000,20260814,1883.5,3681.5,1883.5,0.0040539375566566,0.3230907457322551,0,105,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,0.0101348438916415,SECONDARY_FIVE_VARIABLES,Anchor median,SECONDARY_ROBUSTNESS
