contrast,variable,group,category,count,proportion_within_group,record_type,matched_N,comparison_N,matched_median,matched_Q1,matched_Q3,comparison_median,comparison_Q1,comparison_Q3,cliffs_delta_matched_minus_comparison,cliffs_delta_CI_low,cliffs_delta_CI_high,bootstrap_repetitions,bootstrap_seed
MATCHED_VS_UNMATCHED_159,anchor_k3,COMPARISON,C0,43.0,0.270440251572327,cluster,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,anchor_k3,COMPARISON,C1,57.0,0.3584905660377358,cluster,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,anchor_k3,COMPARISON,C2,59.0,0.3710691823899371,cluster,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,anchor_k3,MATCHED,C0,26.0,0.2476190476190476,cluster,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,anchor_k3,MATCHED,C1,12.0,0.1142857142857142,cluster,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,anchor_k3,MATCHED,C2,67.0,0.638095238095238,cluster,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,COMPARISON,2019,8.0,0.050314465408805,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,COMPARISON,2020,11.0,0.0691823899371069,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,COMPARISON,2021,44.0,0.2767295597484276,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,COMPARISON,2022,29.0,0.1823899371069182,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,COMPARISON,2023,27.0,0.1698113207547169,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,COMPARISON,2024,40.0,0.2515723270440251,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,MATCHED,2019,9.0,0.0857142857142857,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,MATCHED,2020,11.0,0.1047619047619047,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,MATCHED,2021,14.0,0.1333333333333333,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,MATCHED,2022,13.0,0.1238095238095238,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,MATCHED,2023,21.0,0.2,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,year_BJT,MATCHED,2024,37.0,0.3523809523809524,year,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,3,4.0,0.0251572327044025,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,4,4.0,0.0251572327044025,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,5,13.0,0.0817610062893081,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,6,38.0,0.2389937106918239,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,7,58.0,0.3647798742138364,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,8,25.0,0.1572327044025157,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,9,15.0,0.0943396226415094,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,COMPARISON,10,2.0,0.0125786163522012,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,3,3.0,0.0285714285714285,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,4,9.0,0.0857142857142857,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,5,10.0,0.0952380952380952,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,6,11.0,0.1047619047619047,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,7,43.0,0.4095238095238095,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,8,11.0,0.1047619047619047,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,9,15.0,0.1428571428571428,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,month_BJT,MATCHED,10,3.0,0.0285714285714285,month,,,,,,,,,,,,,
MATCHED_VS_UNMATCHED_159,latitude,,,,,numeric,105.0,159.0,35.69,33.02,40.63,36.8,30.195,44.445,-0.0897873614854747,-0.224618149146451,0.048099730458221,10000.0,20260814.0
MATCHED_VS_UNMATCHED_159,longitude,,,,,numeric,105.0,159.0,117.79,115.57,119.58,118.11,113.51,123.46,-0.0888888888888888,-0.2264165917939503,0.0494758909853249,10000.0,20260814.0
MATCHED_VS_UNMATCHED_159,MLCAPE_Jkg,,,,,numeric,105.0,159.0,795.04,375.9,1192.15,752.87,342.59000000000003,1366.64,0.011979634621144,-0.1292033542976939,0.1517250673854447,10000.0,20260814.0
MATCHED_VS_UNMATCHED_159,MLLCL_m,,,,,numeric,105.0,159.0,817.9,688.5,1354.7,1014.9,763.5,1348.85,-0.1402216232404911,-0.2856573824498353,0.0053339323150643,10000.0,20260814.0
