process_radius,contamination_radius,outer_radius,eligible_anchor_count,matched_anchor_count,zero_reference,ge1,ge2,ge3,ge4,ge5,total_matches,median_matches_per_matched_anchor,RAIN_count,WIND_count,RAIN+WIND_count,configuration_status
20,20,75,261,101,160,101,40,17,7,2,167,1.0,59,81,27,FROZEN_SENSITIVITY
20,20,100,261,119,142,119,65,39,25,13,261,2.0,90,139,32,FROZEN_SENSITIVITY
20,20,150,261,146,115,146,97,68,54,37,402,2.0,128,226,48,FROZEN_SENSITIVITY
20,30,75,261,93,168,93,31,14,2,2,142,1.0,50,72,20,FROZEN_SENSITIVITY
20,30,100,261,113,148,113,58,34,20,11,236,2.0,82,129,25,FROZEN_SENSITIVITY
20,30,150,261,142,119,142,90,65,49,34,380,2.0,121,218,41,FROZEN_SENSITIVITY
20,50,75,261,59,202,59,14,3,0,0,76,1.0,20,42,14,FROZEN_SENSITIVITY
20,50,100,261,90,171,90,45,18,14,5,172,1.5,50,103,19,FROZEN_SENSITIVITY
20,50,150,261,126,135,126,81,53,42,26,328,2.0,88,205,35,FROZEN_SENSITIVITY
30,20,75,261,93,168,93,23,5,3,2,126,1.0,42,59,25,FROZEN_SENSITIVITY
30,20,100,261,111,150,111,48,24,11,6,200,1.0,64,105,31,FROZEN_SENSITIVITY
30,20,150,261,139,122,139,83,50,28,17,317,2.0,95,177,45,FROZEN_SENSITIVITY
30,30,75,261,85,176,85,15,4,2,2,108,1.0,35,54,19,FROZEN_SENSITIVITY
30,30,100,261,105,156,105,43,18,11,4,181,1.0,57,100,24,PRE_REGISTERED_MAIN
30,30,150,261,136,125,136,77,47,25,15,300,2.0,88,174,38,FROZEN_SENSITIVITY
30,50,75,261,51,210,51,6,3,0,0,60,1.0,13,32,15,FROZEN_SENSITIVITY
30,50,100,261,81,180,81,30,14,9,1,135,1.0,35,80,20,FROZEN_SENSITIVITY
30,50,150,261,119,142,119,66,36,22,11,254,2.0,63,157,34,FROZEN_SENSITIVITY
50,20,75,261,70,191,70,9,0,0,0,79,1.0,21,35,23,FROZEN_SENSITIVITY
50,20,100,261,91,170,91,27,6,0,0,124,1.0,29,62,33,FROZEN_SENSITIVITY
50,20,150,261,125,136,125,57,20,5,0,207,1.0,52,111,44,FROZEN_SENSITIVITY
50,30,75,261,59,202,59,5,0,0,0,64,1.0,17,32,15,FROZEN_SENSITIVITY
50,30,100,261,82,179,82,22,4,0,0,108,1.0,25,59,24,FROZEN_SENSITIVITY
50,30,150,261,121,140,121,48,17,5,0,191,1.0,48,108,35,FROZEN_SENSITIVITY
50,50,75,261,34,227,34,0,0,0,0,34,1.0,5,17,12,FROZEN_SENSITIVITY
50,50,100,261,61,200,61,16,0,0,0,77,1.0,13,44,20,FROZEN_SENSITIVITY
50,50,150,261,105,156,105,39,13,2,0,159,1.0,35,93,31,FROZEN_SENSITIVITY
