var1,var2,rho,abs_rho,p,screening_flag
MLCAPE,MLLCL,0.035283,0.035283,0.3219663311777756,LOW_MODERATE
MLCAPE,d2m,0.364133,0.364133,3.536402542670339e-26,LOW_MODERATE
MLCAPE,SHR6,-0.062353,0.062353,0.07986375660526433,LOW_MODERATE
MLCAPE,signed SRH1,-0.010353,0.010353,0.7714053435324286,LOW_MODERATE
MLLCL,d2m,-0.421099,0.421099,2.671350865941018e-35,LOW_MODERATE
MLLCL,SHR6,-0.244256,0.244256,3.4004488718533798e-12,LOW_MODERATE
MLLCL,signed SRH1,-0.584291,0.584291,1.6743175230948546e-73,LOW_MODERATE
d2m,SHR6,-0.109367,0.109367,0.0020815761699008277,LOW_MODERATE
d2m,signed SRH1,0.33719,0.33719,1.857125880268255e-22,LOW_MODERATE
SHR6,signed SRH1,0.559914,0.559914,2.185865784263414e-66,LOW_MODERATE
