analysis,variable,N_paired,tornado_median,tornado_Q1,tornado_Q3,reference_median,reference_Q1,reference_Q3,paired_median_difference,paired_difference_Q1,paired_difference_Q3,bootstrap_CI_low,bootstrap_CI_high,bootstrap_repetitions,bootstrap_seed,W_statistic,W_plus,W_minus,raw_p,rank_biserial,zero_difference_n,nonzero_difference_n,test_status,effect_direction,delta_definition,anchor_k3,analysis_tier,q_BH_subgroup_family,subgroup_family
PRIMARY_RANK1_C0,MLCAPE_Jkg,26,343.055,151.2625,808.97,191.04,1.835,605.045,67.2,0.102499999999992,248.2875,1.1700000000000728,191.7,10000,20260814,93.0,232.0,93.0,0.0614796009729085,0.4276923076923077,1,25,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C0,SECONDARY_EXPLORATORY_STRATIFIED,0.1844388029187255,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C0,MLLCL_m,26,2229.65,1690.3,2996.25,2671.65,1702.5749999999998,3626.65,-255.65,-365.4250000000001,94.82500000000005,-341.7999999999997,32.40000000000009,10000,20260814,82.0,82.0,269.0,0.0163331627845764,-0.5327635327635327,0,26,PERFORMED,TORNADO_LT_REFERENCE,TORNADO_MINUS_REFERENCE,C0,SECONDARY_EXPLORATORY_STRATIFIED,0.081665813922882,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C0,ERA5_d2m_K,26,283.37,279.16,286.5575,282.73,277.2925,286.36,1.1599999999999966,-0.8825000000000216,1.7099999999999795,-0.0749999999999886,1.4700000000000273,10000,20260814,109.0,242.0,109.0,0.0912129941429324,0.3789173789173789,0,26,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C0,SECONDARY_EXPLORATORY_STRATIFIED,0.228032485357331,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C0,SHR6_ms,26,14.23,9.675,17.9925,11.31,8.18,19.4375,-0.5150000000000001,-1.2675000000000003,2.7299999999999995,-1.0949999999999998,2.33,10000,20260814,168.0,183.0,168.0,0.8612560033798218,0.0427350427350427,0,26,PERFORMED,TORNADO_LT_REFERENCE,TORNADO_MINUS_REFERENCE,C0,SECONDARY_EXPLORATORY_STRATIFIED,0.90966796875,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C0,SRH1_m2s2,26,8.995000000000001,0.4075,38.7025,3.005,0.3175,28.935,1.395,-1.1725,5.467499999999998,-0.8049999999999999,4.140000000000001,10000,20260814,129.5,221.5,129.5,0.2426639782545652,0.2621082621082621,0,26,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C0,SECONDARY_EXPLORATORY_STRATIFIED,0.4549949592273097,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C1,MLCAPE_Jkg,12,1446.9250000000002,709.3975,1820.87,1324.905,707.135,1633.34,61.650000000000034,-90.48249999999992,284.6400000000001,-142.60499999999996,355.4500000000001,10000,20260814,30.0,48.0,30.0,0.5185546875,0.2307692307692307,0,12,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C1,SECONDARY_EXPLORATORY_STRATIFIED,0.8642578125,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C1,MLLCL_m,12,761.65,683.0,883.3000000000001,803.3,711.1,971.125,-31.350000000000023,-102.44999999999996,64.80000000000001,-105.09999999999997,84.0,10000,20260814,34.0,34.0,44.0,0.7333984375,-0.1282051282051282,0,12,PERFORMED,TORNADO_LT_REFERENCE,TORNADO_MINUS_REFERENCE,C1,SECONDARY_EXPLORATORY_STRATIFIED,0.90966796875,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C1,ERA5_d2m_K,12,297.515,296.56,298.3825,296.98,296.0425,298.5125,-0.0999999999999943,-0.5449999999999875,0.8400000000000176,-0.5699999999999932,0.9000000000000057,10000,20260814,37.0,41.0,37.0,0.90966796875,0.0512820512820512,0,12,PERFORMED,TORNADO_LT_REFERENCE,TORNADO_MINUS_REFERENCE,C1,SECONDARY_EXPLORATORY_STRATIFIED,0.90966796875,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C1,SHR6_ms,12,10.765,8.065,14.325,10.475,7.26,14.7275,0.0750000000000006,-1.925,0.9374999999999998,-2.08,1.0849999999999995,10000,20260814,36.0,36.0,42.0,0.85009765625,-0.0769230769230769,0,12,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C1,SECONDARY_EXPLORATORY_STRATIFIED,0.90966796875,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C1,SRH1_m2s2,12,47.985,38.9725,54.81,38.315,19.155,55.285,2.6599999999999966,-11.539999999999996,16.842499999999998,-13.239999999999998,18.955,10000,20260814,33.0,45.0,33.0,0.67724609375,0.1538461538461538,0,12,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C1,SECONDARY_EXPLORATORY_STRATIFIED,0.90966796875,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C2,MLCAPE_Jkg,67,828.08,561.49,1191.895,814.0,447.7000000000001,1196.42,5.699999999999989,-163.19,199.54000000000005,-36.819999999999936,118.45,10000,20260814,1057.0,1221.0,1057.0,0.6084935811848056,0.0719929762949956,0,67,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C2,SECONDARY_EXPLORATORY_STRATIFIED,0.90966796875,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
PRIMARY_RANK1_C2,MLLCL_m,67,763.0,654.45,858.35,675.6,577.65,795.0999999999999,55.0,3.300000000000012,147.8,22.600000000000023,93.5,10000,20260814,497.0,1781.0,497.0,6.062968497722686e-05,0.5636523266022827,0,67,PERFORMED,TORNADO_GT_REFERENCE,TORNADO_MINUS_REFERENCE,C2,SECONDARY_EXPLORATORY_STRATIFIED,0.0009094452746584,ALL_PERFORMED_C0_C1_C2_X_FIVE_VARIABLE_TESTS
