contrast,variable,matched_N,comparison_N,matched_median,matched_Q1,matched_Q3,comparison_median,comparison_Q1,comparison_Q3,cliffs_delta_matched_minus_comparison,cliffs_delta_CI_low,cliffs_delta_CI_high,bootstrap_repetitions,bootstrap_seed
MATCHED_VS_UNMATCHED_159,latitude,105,159,35.69,33.02,40.63,36.8,30.195,44.445,-0.0897873614854747,-0.224618149146451,0.048099730458221,10000,20260814
MATCHED_VS_UNMATCHED_159,longitude,105,159,117.79,115.57,119.58,118.11,113.51,123.46,-0.0888888888888888,-0.2264165917939503,0.0494758909853249,10000,20260814
MATCHED_VS_UNMATCHED_159,MLCAPE_Jkg,105,159,795.04,375.9,1192.15,752.87,342.59000000000003,1366.64,0.011979634621144,-0.1292033542976939,0.1517250673854447,10000,20260814
MATCHED_VS_UNMATCHED_159,MLLCL_m,105,159,817.9,688.5,1354.7,1014.9,763.5,1348.85,-0.1402216232404911,-0.2856573824498353,0.0053339323150643,10000,20260814
MATCHED_VS_UNMATCHED_159,ERA5_d2m_K,105,159,297.21,291.09,298.47,295.47,288.78,298.165,0.113267445342917,-0.0309119496855345,0.2555300988319856,10000,20260814
MATCHED_VS_UNMATCHED_159,SHR6_ms,105,159,17.85,11.57,22.1,13.14,8.870000000000001,17.865000000000002,0.305780173704702,0.1674094040131776,0.4386343216531895,10000,20260814
MATCHED_VS_UNMATCHED_159,SRH1_m2s2,105,159,95.06,46.13,137.34,40.5,10.53,90.12,0.330398322851153,0.1979020664869721,0.4636717580113806,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,latitude,105,156,35.69,33.02,40.63,36.755,30.3025,44.595,-0.0907203907203907,-0.2293055555555555,0.0493910256410256,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,longitude,105,156,117.79,115.57,119.58,118.11,113.455,123.4925,-0.0838827838827838,-0.2213782051282051,0.0548275335775335,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,MLCAPE_Jkg,105,156,795.04,375.9,1192.15,734.97,331.475,1365.545,0.0195970695970695,-0.119539072039072,0.159958791208791,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,MLLCL_m,105,156,817.9,688.5,1354.7,1015.25,765.35,1345.325,-0.1427350427350427,-0.2886462148962149,0.0073260073260073,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,ERA5_d2m_K,105,156,297.21,291.09,298.47,295.31,288.62,298.1875,0.1112942612942612,-0.0321123321123321,0.2540918803418803,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,SHR6_ms,105,156,17.85,11.57,22.1,13.165,8.915000000000001,17.7725,0.3080586080586081,0.1694688644688644,0.4426739926739926,10000,20260814
MATCHED_VS_ELIGIBLE_UNMATCHED_156,SRH1_m2s2,105,156,95.06,46.13,137.34,40.565,10.675,90.805,0.323015873015873,0.187724358974359,0.4550091575091574,10000,20260814
